OBJECTID,GlobalID,Zoning,Conditional,Reference,Overlays,Supplemental,last_edited_date,SHAPESTArea,SHAPESTLength
5980,018EF0F8-58AE-4663-8172-F58B8D62C41A,R10,,,,,2024-04-15 18:59:18+00:00,48322.810114815,1424.85969672464
5981,F882092A-7448-4875-AF9E-1480CFDEA9AD,A12,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,211990.05538119,2286.3510281
5982,4DCFE891-D2B4-45E8-89B0-19642A601E7F,PDH1,,,,,2024-04-15 18:59:18+00:00,5457.318058675,426.09961993948
5983,385B2683-8158-4DF4-B46A-01153D12A179,A12,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,385341.841101775,3114.74704117157
5984,F266D017-6BB0-4675-82EC-BA497744E7A3,R10,,,,Planned Unit Development District-2,2024-04-15 18:59:18+00:00,14515.18974709,697.156191809459
5985,7E6EBD26-A476-412F-8AD9-1D1CCCB0E97B,R5D,,,,,2024-04-15 18:59:18+00:00,817.39847359,119.081019234242
5986,716CCD5C-7B5B-46B7-8A3B-99F4120952E7,R10,,,,,2024-04-15 18:59:18+00:00,20772.501338535,1124.98037883881
5987,85735334-19E3-4382-9B8F-C5908D319055,R10,,,,,2024-04-15 18:59:18+00:00,40013.35436195,826.167351654656
5988,7E214E39-2670-48FA-A021-8B7E13B4F148,R10,,,,,2024-04-15 18:59:18+00:00,61012.68313906,1488.90703999528
5989,EA24401C-B63F-4366-8C75-61D3355A4A4C,R10,,,,,2024-04-15 18:59:18+00:00,15269.62599864,526.187371074336
5990,85E01067-CE91-4CA8-9C06-FACC56CFD5F4,R10,,,,,2024-04-15 18:59:18+00:00,30712.265136815,833.040727815833
5991,123C6757-29D6-4EFB-9288-F5288DAD554E,R10,,,,,2024-04-15 18:59:18+00:00,27246.905735265,781.852687218824
5992,AB932897-641B-4F88-812B-DA2846E58A79,R10,,,,,2024-04-15 18:59:18+00:00,65162.928241155,1646.03205572957
5993,C8E4D846-5EB4-41B0-A8DA-B4D904C13936,R10,,,,,2024-04-15 18:59:18+00:00,33015.58005417,795.134270055266
5994,339AE058-67A6-4FF8-8660-8BE93FBB9E95,R10,,,,,2024-04-15 18:59:18+00:00,47480.524905855,1358.21722769713
5995,F4123179-1612-4885-B5CE-08FA8308FBD7,R10,,,,,2024-04-15 18:59:18+00:00,69510.62932767,1867.07598294055
5996,0EC5D580-BE8F-4AE3-BFFF-131F82B65B63,R10,,,,,2024-04-15 18:59:18+00:00,80333.45283057,1983.11831866487
5997,94EC881C-11D6-4840-A32F-1065FBBCC36A,R10,,,,,2024-04-15 18:59:18+00:00,30979.95315456,831.716378928524
